PassengerID,Survived,Pclass,Sex,Age,Fare,Embarked
0,0,3,female,23.0,7.925,S
1,0,1,male,47.0,52.0,S
2,0,3,male,36.0,7.4958,S
3,0,3,male,31.0,7.75,Q
4,0,3,male,19.0,7.8958,S
5,0,3,male,24.0,7.7958,S
6,0,3,female,8.0,21.075,S
7,1,3,female,22.0,7.75,Q
8,0,3,male,20.0,8.05,S
9,1,2,female,40.0,15.75,S
10,0,3,male,18.0,20.2125,S
11,0,3,male,44.0,8.05,S
12,0,1,male,50.0,55.9,S
13,1,3,female,21.0,7.65,S
14,0,3,male,39.0,24.15,S
15,1,1,male,11.0,120.0,S
16,1,1,female,39.0,79.65,S
17,0,3,male,24.0,24.15,S
18,0,3,female,22.0,9.8375,S
19,0,2,male,36.0,27.75,S
20,0,1,male,45.5,28.5,S
21,0,1,male,28.0,47.1,S
22,1,2,female,3.0,41.5792,C
23,0,3,female,37.0,9.5875,S
24,0,2,male,29.0,21.0,S
25,0,3,male,23.0,9.225,S
26,0,3,male,16.0,9.2167,S
27,0,3,male,16.0,7.775,S
28,0,2,male,24.0,10.5,S
29,0,3,female,31.0,7.8542,S
30,0,2,male,32.0,10.5,S
31,1,3,female,5.0,31.3875,S
32,0,2,female,26.0,26.0,S
33,1,1,female,49.0,76.7292,C
34,0,3,male,24.5,8.05,S
35,1,2,female,22.0,41.5792,C
36,1,1,female,21.0,262.375,C
37,1,1,female,40.0,153.4625,S
38,0,2,male,16.0,26.0,S
39,0,3,male,26.0,7.775,S
40,1,1,male,51.0,26.55,S
41,1,2,female,23.0,13.7917,C
42,0,3,male,47.0,9.0,S
43,1,1,female,63.0,77.9583,S
44,1,3,female,24.0,19.2583,C
45,1,3,female,18.0,9.8417,S
46,0,3,male,19.0,14.5,S
47,1,1,female,35.0,52.0,S
48,1,3,male,32.0,7.8542,S
49,0,3,male,35.0,8.05,S
50,1,1,female,39.0,110.8833,C
51,0,3,male,42.0,8.6625,S
52,0,3,male,29.0,7.775,S
53,1,2,female,50.0,10.5,S
54,0,1,male,54.0,51.8625,S
55,1,2,male,31.0,13.0,S
56,0,2,male,23.0,13.0,S
57,1,1,female,21.0,77.9583,S
58,0,3,male,21.0,7.8,S
59,1,1,female,48.0,39.6,C
60,0,2,male,60.0,39.0,S
61,0,2,male,30.0,10.5,S
62,1,1,male,50.0,133.65,S
63,0,1,male,61.0,33.5,S
64,1,1,male,35.0,512.3292,C
65,0,1,female,50.0,28.7125,C
66,1,3,female,24.0,16.7,S
67,1,1,female,45.0,164.8667,S
68,1,3,female,15.0,7.225,C
69,1,1,female,30.0,31.0,C
70,1,2,female,18.0,13.0,S
71,0,2,male,54.0,14.0,S
72,0,3,male,16.0,9.5,S
73,0,3,female,6.0,31.275,S
74,0,3,male,4.0,29.125,Q
75,1,3,female,24.0,15.85,S
76,1,2,female,31.0,26.25,S
77,1,1,female,42.0,227.525,C
78,1,1,female,19.0,26.2833,S
79,0,1,male,47.0,25.5875,S
80,1,2,female,8.0,26.25,S
81,0,3,male,19.0,7.65,S
82,1,3,male,27.0,8.6625,S
83,1,1,male,36.0,26.3875,S
84,1,1,male,49.0,56.9292,C
85,1,2,female,29.0,26.0,S
86,0,3,male,21.0,7.925,S
87,1,1,female,30.0,56.9292,C
88,0,3,male,26.0,20.575,S
89,1,1,male,23.0,63.3583,C
90,0,3,male,20.0,7.05,S
91,0,3,male,41.0,7.125,S
92,0,3,male,28.0,9.5,S
93,1,1,female,35.0,83.475,S
94,1,1,male,36.0,120.0,S
95,1,3,male,3.0,31.3875,S
96,1,1,female,26.0,78.85,S
97,0,3,male,29.0,7.875,S
98,1,1,female,24.0,69.3,C
99,0,1,male,31.0,50.4958,S
100,0,3,male,17.0,7.0542,S
101,1,1,female,43.0,211.3375,S
102,0,3,male,9.0,31.3875,S
103,0,3,male,21.0,7.925,S
104,0,1,male,64.0,263.0,S
105,0,3,male,22.0,7.8958,S
106,0,3,male,1.0,46.9,S
107,1,1,female,49.0,25.9292,S
108,0,3,male,19.0,8.05,S
109,1,3,female,13.0,7.2292,C
110,1,1,female,24.0,83.1583,C
111,0,2,male,21.0,11.5,S
112,0,2,male,32.0,73.5,S
113,0,1,male,46.0,61.175,S
114,1,3,female,0.75,19.2583,C
115,1,2,male,19.0,10.5,S
116,1,1,female,50.0,247.5208,C
117,1,1,female,18.0,262.375,C
118,0,1,male,24.0,247.5208,C
119,1,1,female,16.0,39.4,S
120,0,1,male,19.0,53.1,S
121,0,3,male,40.5,14.5,S
122,0,3,male,17.0,7.2292,C
123,0,3,male,30.5,8.05,S
124,1,3,male,32.0,56.4958,S
125,1,3,female,5.0,12.475,S
126,0,3,male,28.0,56.4958,S
127,1,3,female,4.0,13.4167,C
128,0,3,male,39.0,7.925,S
129,0,2,male,42.0,27.0,S
130,0,3,male,35.0,8.05,S
131,1,1,female,58.0,146.5208,C
132,1,2,female,30.0,12.35,Q
133,1,2,male,0.83,18.75,S
134,1,1,male,49.0,89.1042,C
135,1,1,male,45.0,26.55,S
136,1,1,female,30.0,93.5,S
137,0,3,male,20.0,7.8542,S
138,0,3,female,43.0,46.9,S
139,0,3,male,21.0,8.05,S
140,0,2,female,27.0,21.0,S
141,0,3,female,18.0,14.4542,C
142,0,3,male,26.0,7.8542,S
143,1,2,female,48.0,65.0,S
144,0,3,male,21.0,8.05,S
145,1,2,female,19.0,26.0,S
146,0,3,male,16.0,8.05,S
147,1,1,female,35.0,512.3292,C
148,1,3,male,21.0,7.7958,S
149,1,1,female,18.0,227.525,C
150,1,1,female,31.0,113.275,C
151,1,3,female,18.0,9.35,S
152,0,3,female,25.0,7.925,S
153,1,1,female,24.0,49.5042,C
154,1,2,female,33.0,26.0,S
155,0,3,male,26.0,7.8958,S
156,0,2,male,34.0,21.0,S
157,1,3,male,20.0,7.2292,C
158,1,2,female,34.0,23.0,S
159,1,1,male,42.0,26.2875,S
160,0,3,male,26.0,7.8875,S
161,0,3,male,22.0,7.25,S
162,1,1,male,28.0,35.5,S
163,1,3,male,3.0,15.9,S
164,0,3,male,29.0,7.0458,S
165,0,3,male,9.0,46.9,S
166,1,2,female,7.0,26.25,S
167,0,3,male,28.5,7.2292,C
168,0,2,male,43.0,26.25,S
169,1,2,female,24.0,65.0,S
170,0,3,female,18.0,7.775,S
171,0,2,male,23.0,10.5,S
172,0,3,male,70.5,7.75,Q
173,1,3,male,12.0,11.2417,C
174,1,2,female,32.0,13.0,S
175,1,1,female,41.0,134.5,C
176,1,3,female,4.0,22.025,S
177,1,2,female,33.0,27.75,S
178,1,1,female,36.0,135.6333,C
179,0,3,male,16.0,18.0,S
180,1,1,male,60.0,79.2,C
181,1,1,female,44.0,27.7208,C
182,1,2,female,4.0,39.0,S
183,1,3,male,9.0,15.9,S
184,0,3,male,33.0,8.6625,C
185,0,3,male,17.0,7.125,S
186,1,1,male,25.0,55.4417,C
187,0,3,male,38.0,7.05,S
188,1,2,female,14.0,30.0708,C
189,0,1,male,45.0,83.475,S
190,1,2,female,24.0,26.0,S
191,0,1,male,65.0,61.9792,C
192,1,2,female,28.0,24.0,C
193,1,2,female,17.0,12.0,C
194,1,1,male,42.0,52.5542,S
195,1,3,male,20.0,15.7417,C
196,1,1,male,27.0,53.1,S
197,0,3,male,20.0,9.5,S
198,0,3,female,47.0,14.5,S
199,1,2,female,24.0,14.5,S
200,0,3,male,26.0,14.4542,C
201,1,3,female,1.0,11.1333,S
202,1,2,female,29.0,10.5,S
203,1,2,male,3.0,26.0,S
204,0,3,male,34.0,8.05,S
205,0,3,male,36.0,24.15,S
206,0,2,male,18.0,11.5,S
207,0,3,female,48.0,34.375,S
208,1,2,female,50.0,26.0,S
209,0,2,male,19.0,10.5,S
210,0,3,female,45.0,27.9,S
211,0,3,male,25.0,7.65,S
212,1,1,female,17.0,108.9,C
213,0,1,male,27.0,211.5,C
214,0,3,male,24.0,7.8958,S
215,1,2,female,27.0,10.5,S
216,1,2,female,28.0,13.0,S
217,1,2,male,1.0,39.0,S
218,1,3,female,36.0,17.4,S
219,0,3,male,40.0,7.8958,S
220,1,1,male,40.0,31.0,C
221,0,1,male,36.0,78.85,S
222,0,2,female,44.0,26.0,S
223,1,3,male,29.0,9.5,S
224,1,3,male,27.0,6.975,S
225,0,3,male,25.0,7.05,S
226,1,3,female,0.75,19.2583,C
227,0,3,male,21.0,8.4333,S
228,0,3,female,2.0,31.275,S
229,0,3,male,20.0,8.6625,S
230,0,3,male,61.0,6.2375,S
231,0,3,female,17.0,14.4583,C
232,0,3,male,24.0,16.1,S
233,1,3,male,16.0,8.05,S
234,0,3,male,4.0,27.9,S
235,1,1,female,23.0,263.0,S
236,0,3,female,29.0,10.4625,S
237,1,2,female,22.0,29.0,S
238,0,2,male,34.0,13.0,S
239,1,1,female,22.0,49.5,C
240,1,1,female,60.0,75.25,C
241,0,3,male,39.0,31.275,S
242,1,2,female,30.0,21.0,S
243,0,3,female,21.0,34.375,S
244,1,1,female,56.0,83.1583,C
245,0,3,male,30.0,7.8958,S
246,0,3,male,18.0,6.4958,S
247,0,2,male,39.0,13.0,S
248,0,3,female,10.0,24.15,S
249,0,3,male,16.0,39.6875,S
250,0,2,male,25.0,13.0,S
251,1,3,female,14.0,11.2417,C
252,0,3,male,2.0,21.075,S
253,0,1,male,65.0,26.55,S
254,0,2,male,37.0,26.0,S
255,0,2,male,27.0,13.0,S
256,0,2,male,28.0,13.0,S
257,0,1,male,36.0,40.125,C
258,0,2,male,19.0,36.75,S
259,0,1,male,45.0,26.55,S
260,1,1,female,35.0,90.0,S
261,0,1,male,62.0,26.55,S
262,0,3,male,32.0,7.925,S
263,0,3,male,40.0,15.5,Q
264,0,2,male,18.0,73.5,S
265,0,3,male,14.0,46.9,S
266,0,3,male,33.0,7.8958,S
267,0,3,male,25.0,7.8958,S
268,0,2,male,29.0,27.7208,C
269,1,3,male,31.0,7.925,S
270,1,1,female,17.0,57.0,S
271,1,3,male,26.0,56.4958,S
272,0,3,male,21.0,7.775,S
273,0,3,male,47.0,7.25,S
274,0,3,male,30.0,7.2292,C
275,0,3,male,23.0,7.8958,S
276,0,1,male,42.0,52.0,S
277,0,3,male,25.0,7.05,S
278,0,2,male,47.0,15.0,S
279,0,3,male,30.0,8.05,S
280,0,3,male,51.0,7.0542,S
281,0,1,male,47.0,34.0208,S
282,0,3,female,25.0,7.775,S
283,0,2,male,36.0,12.875,C
284,0,3,male,21.0,8.6625,S
285,0,2,male,30.0,13.0,S
286,0,1,male,50.0,106.425,C
287,0,3,male,29.0,9.4833,S
288,1,2,female,34.0,10.5,S
289,0,3,male,18.0,7.75,S
290,0,3,male,31.0,7.775,S
291,0,3,male,40.5,7.75,Q
292,0,3,male,40.0,27.9,S
293,0,2,female,24.0,13.0,S
294,0,3,male,25.0,7.25,S
295,0,3,male,43.0,6.45,S
296,0,3,male,32.0,7.8958,S
297,0,2,male,48.0,13.0,S
298,1,1,female,24.0,263.0,S
