PassengerID,Survived,Pclass,Sex,Age,Fare,Embarked
500,0,3,male,10.0,27.9,S
501,0,3,female,9.0,27.9,S
502,0,3,male,45.0,6.975,S
503,0,3,male,2.0,39.6875,S
504,0,3,male,2.0,29.125,Q
505,0,3,female,18.0,17.8,S
506,1,1,male,48.0,52.0,S
507,1,3,male,6.0,12.475,S
508,1,2,male,42.0,13.0,S
509,0,3,male,11.0,18.7875,C
510,1,2,female,25.0,26.0,S
511,1,2,male,3.0,18.75,S
512,0,2,male,52.0,13.5,S
513,0,3,male,26.0,7.8958,S
514,1,2,female,28.0,13.0,S
515,0,1,male,28.0,82.1708,C
516,0,2,male,50.0,13.0,S
517,0,2,male,23.0,13.0,S
518,0,3,male,32.0,7.75,Q
519,0,1,male,37.0,53.1,S
520,0,2,male,34.0,13.0,S
521,1,2,male,34.0,13.0,S
522,1,3,female,26.0,7.8542,S
523,1,1,male,28.0,26.55,S
524,0,3,male,19.0,7.775,S
525,1,3,male,19.0,8.05,S
526,1,2,female,5.0,27.75,S
527,0,2,male,34.0,26.0,S
528,0,3,male,18.0,7.775,S
529,1,2,female,13.0,19.5,S
530,1,1,male,80.0,30.0,S
531,1,2,female,21.0,10.5,S
532,1,3,female,5.0,19.2583,C
533,0,3,male,22.0,7.7958,S
534,1,1,female,32.0,76.2917,C
535,1,3,male,24.0,7.1417,S
536,1,3,male,29.0,7.8958,C
537,1,1,female,23.0,113.275,C
538,0,2,male,23.0,13.0,S
539,1,3,female,15.0,8.0292,Q
540,0,3,male,20.0,4.0125,C
541,1,1,male,36.0,512.3292,C
542,0,2,male,39.0,26.0,S
543,0,3,male,34.5,6.4375,C
544,1,3,male,26.0,18.7875,C
545,0,3,male,44.0,16.1,S
546,1,3,female,35.0,20.25,S
547,0,3,male,20.0,7.925,S
548,0,3,female,9.0,15.2458,C
549,0,3,male,35.0,7.05,S
550,0,3,male,25.0,7.775,S
551,0,3,male,30.0,7.225,C
552,0,3,male,20.0,9.8458,S
553,1,3,male,25.0,0.0,S
554,0,3,male,42.0,7.55,S
555,1,3,male,39.0,7.925,S
556,1,3,female,27.0,12.475,S
557,0,2,male,34.0,21.0,S
558,0,3,female,18.0,6.75,Q
559,1,1,female,16.0,57.9792,C
560,0,3,male,11.0,46.9,S
561,0,3,male,28.0,7.7958,S
562,1,1,female,24.0,69.3,C
563,1,3,female,29.0,15.2458,C
564,1,2,female,54.0,23.0,S
565,0,3,female,30.0,8.6625,S
566,0,3,male,21.0,7.8542,S
567,0,2,male,36.0,13.0,S
568,1,3,male,30.0,9.5,S
569,0,3,male,38.0,7.8958,S
570,0,3,female,24.0,8.85,S
571,0,2,male,23.0,11.5,S
572,0,2,male,25.0,41.5792,C
573,0,3,male,38.0,8.6625,S
574,0,3,male,19.0,7.8958,S
575,0,3,female,20.0,9.825,S
576,1,1,male,36.0,26.2875,S
577,0,3,female,28.0,14.4,S
578,0,2,male,21.0,73.5,S
579,0,2,male,46.0,26.0,S
580,1,1,female,38.0,71.2833,C
581,1,2,male,0.83,29.0,S
582,0,3,male,44.0,8.05,S
583,1,2,female,30.0,13.0,S
584,0,2,male,59.0,13.5,S
585,1,2,female,40.0,39.0,S
586,0,2,male,26.0,10.5,S
587,0,3,female,30.5,7.75,Q
588,1,3,male,1.0,20.575,S
589,0,3,male,35.0,7.125,S
590,0,2,male,18.0,13.0,S
591,1,2,female,4.0,23.0,S
592,0,1,male,29.0,30.0,S
593,0,2,male,27.0,26.0,S
594,1,3,male,4.0,11.1333,S
595,1,2,female,32.5,13.0,S
596,0,1,male,71.0,49.5042,C
597,1,3,male,20.0,7.925,S
598,0,3,female,41.0,39.6875,S
599,1,2,female,42.0,13.0,S
